DATE,DFF,DGS10,DGS3MO,DGS5
1979-08-01,10.9361290322580645,9.0295652173913043,.,9.0604347826086957
1979-09-01,11.4283333333333333,9.3347368421052632,.,9.4084210526315789
1979-10-01,13.7687096774193548,10.2990909090909091,.,10.6277272727272727
1979-11-01,13.1803333333333333,10.6531578947368421,.,10.9252631578947368
1979-12-01,13.7787096774193548,10.3860000000000000,.,10.4155000000000000
1980-01-01,13.8167741935483871,10.8022727272727273,.,10.7436363636363636
1980-02-01,14.1262068965517241,12.4147368421052632,.,12.5963157894736842
1980-03-01,17.1922580645161290,12.7490476190476190,.,13.4695238095238095
1980-04-01,17.6076666666666667,11.4733333333333333,.,11.8438095238095238
1980-05-01,10.9832258064516129,10.1814285714285714,.,9.9457142857142857
1980-06-01,9.4720000000000000,9.7780952380952381,.,9.2114285714285714
1980-07-01,9.0258064516129032,10.2477272727272727,.,9.5286363636363636
1980-08-01,9.6054838709677419,11.1019047619047619,.,10.8390476190476190
1980-09-01,10.8720000000000000,11.5085714285714286,.,11.6180952380952381
1980-10-01,12.8135483870967742,11.7513636363636364,.,11.8613636363636364
1980-11-01,15.8486666666666667,12.6847058823529412,.,12.8347058823529412
1980-12-01,18.8961290322580645,12.8440909090909091,.,13.2472727272727273
1981-01-01,19.0845161290322581,12.5685714285714286,.,12.7704761904761905
1981-02-01,15.9342857142857143,13.1944444444444444,.,13.4122222222222222
1981-03-01,14.7038709677419355,13.1159090909090909,.,13.4081818181818182
1981-04-01,15.7190000000000000,13.6795238095238095,.,13.9909523809523810
1981-05-01,18.5177419354838710,14.0995000000000000,.,14.6250000000000000
1981-06-01,19.0996666666666667,13.4722727272727273,.,13.9531818181818182
1981-07-01,19.0358064516129032,14.2809090909090909,.,14.7900000000000000
1981-08-01,17.8177419354838710,14.9371428571428571,.,15.5638095238095238
1981-09-01,15.8740000000000000,15.3238095238095238,15.6071428571428571,15.9300000000000000
1981-10-01,15.0800000000000000,15.1480952380952381,14.2309523809523810,15.4066666666666667
1981-11-01,13.3070000000000000,13.3927777777777778,11.3455555555555556,13.3755555555555556
1981-12-01,12.3690322580645161,13.7245454545454545,11.3190476190476190,13.6004545454545455
1982-01-01,13.2206451612903226,14.5940000000000000,12.9180000000000000,14.6455000000000000
1982-02-01,14.7792857142857143,14.4255555555555556,14.2794444444444444,14.5405555555555556
1982-03-01,14.6777419354838710,13.8613043478260870,13.3147826086956522,13.9773913043478261
1982-04-01,14.9370000000000000,13.8719047619047619,13.3447619047619048,14.0038095238095238
1982-05-01,14.4548387096774194,13.6225000000000000,12.7140000000000000,13.7540000000000000
1982-06-01,14.1526666666666667,14.2995454545454545,13.0786363636363636,14.4263636363636364
1982-07-01,12.5867741935483871,13.9461904761904762,11.8633333333333333,14.0671428571428571
1982-08-01,10.1190322580645161,13.0550000000000000,8.9972727272727273,12.9981818181818182
1982-09-01,10.3096666666666667,12.3390476190476190,8.1928571428571429,12.2480952380952381
1982-10-01,9.7070967741935484,10.9065000000000000,7.9675000000000000,10.7995000000000000
1982-11-01,9.1963333333333333,10.5505263157894737,8.3463157894736842,10.3815789473684211
1982-12-01,8.9454838709677419,10.5400000000000000,8.2027272727272727,10.2222727272727273
1983-01-01,8.6832258064516129,10.4571428571428571,8.1171428571428571,10.0257142857142857
1983-02-01,8.5089285714285714,10.7247368421052632,8.3942105263157895,10.2573684210526316
1983-03-01,8.7661290322580645,10.5065217391304348,8.6595652173913043,10.0834782608695652
1983-04-01,8.8020000000000000,10.4000000000000000,8.5135000000000000,10.0215000000000000
1983-05-01,8.6300000000000000,10.3800000000000000,8.4957142857142857,10.0342857142857143
1983-06-01,8.9820000000000000,10.8486363636363636,9.1395454545454545,10.6281818181818182
1983-07-01,9.3677419354838710,11.3770000000000000,9.4495000000000000,11.2090000000000000
1983-08-01,9.5583870967741935,11.8460869565217391,9.7391304347826087,11.6260869565217391
1983-09-01,9.4480000000000000,11.6538095238095238,9.3614285714285714,11.4300000000000000
1983-10-01,9.4761290322580645,11.5410000000000000,8.9880000000000000,11.2780000000000000
1983-11-01,9.3400000000000000,11.6900000000000000,9.1110526315789474,11.4089473684210526
1983-12-01,9.4712903225806452,11.8295238095238095,9.3576190476190476,11.5447619047619048
1984-01-01,9.5583870967741935,11.6742857142857143,9.2638095238095238,11.3685714285714286
1984-02-01,9.5875862068965517,11.8421052631578947,9.4594736842105263,11.5384210526315789
1984-03-01,9.9132258064516129,12.3190909090909091,9.8895454545454545,12.0213636363636364
1984-04-01,10.2910000000000000,12.6335000000000000,10.0730000000000000,12.3715000000000000
1984-05-01,10.3193548387096774,13.4086363636363636,10.2231818181818182,13.1727272727272727
1984-06-01,11.0616666666666667,13.5628571428571429,10.2604761904761905,13.4766666666666667
1984-07-01,11.2341935483870968,13.3623809523809524,10.5309523809523810,13.2747619047619048
1984-08-01,11.6370967741935484,12.7160869565217391,10.9004347826086957,12.6847826086956522
1984-09-01,11.3026666666666667,12.5226315789473684,10.7957894736842105,12.5321052631578947
1984-10-01,9.9854838709677419,12.1604545454545455,10.1245454545454545,12.0609090909090909
1984-11-01,9.4256666666666667,11.5726315789473684,8.9247368421052632,11.3252631578947368
1984-12-01,8.3816129032258065,11.4995000000000000,8.3375000000000000,11.0695000000000000
1985-01-01,8.3490322580645161,11.3842857142857143,8.0200000000000000,10.9323809523809524
1985-02-01,8.5014285714285714,11.5088888888888889,8.5572222222222222,11.1311111111111111
1985-03-01,8.5774193548387097,11.8552380952380952,8.8300000000000000,11.5204761904761905
